ensembl_transcript_id,Classifier_Importance
ENSCGRT00001019624,0.008182163310172684
ENSCGRT00001001128,0.0070544490672974055
ENSCGRT00001020626,0.006477375408455527
ENSCGRT00001021457,0.0063433970512313765
ENSCGRT00001026648,0.005965452049680477
ENSCGRT00001026501,0.004886558794103138
ENSCGRT00001022087,0.004497378643163569
ENSCGRT00001023082,0.004494360071320852
ENSCGRT00001024323,0.004393062902261813
ENSCGRT00001016853,0.004376274012742483
ENSCGRT00001001975,0.004220777428197854
ENSCGRT00001018662,0.0041941732738051485
ENSCGRT00001021567,0.004187431948099082
ENSCGRT00001018535,0.004086818990774368
ENSCGRT00001014214,0.0040669377404841615
ENSCGRT00001014678,0.004059060145253032
ENSCGRT00001032140,0.003977620868549648
ENSCGRT00001024635,0.003973274125574966
ENSCGRT00001027554,0.003937962151713707
ENSCGRT00001022813,0.0039112290538027925
ENSCGRT00001029424,0.003774645677173182
ENSCGRT00001018252,0.0037151820229857557
ENSCGRT00001024626,0.003709727295728111
ENSCGRT00001026982,0.003706663407388903
ENSCGRT00001001456,0.0036526871984881803
ENSCGRT00001006357,0.0035807028340068712
ENSCGRT00001000226,0.0035747661260590526
ENSCGRT00001000641,0.0035573673847917563
ENSCGRT00001020370,0.003542230755820564
ENSCGRT00001021365,0.003536036412654341
ENSCGRT00001031128,0.00353174721811974
ENSCGRT00001013344,0.003506210281132326
ENSCGRT00001027234,0.003494481251130778
ENSCGRT00001019401,0.003481649496582734
ENSCGRT00001009891,0.0033929455266339197
ENSCGRT00001013871,0.003381679158704942
ENSCGRT00001001523,0.003332157063291071
ENSCGRT00001009732,0.003280016411436798
ENSCGRT00001001192,0.003279562923780921
ENSCGRT00001030196,0.003261543848631004
ENSCGRT00001029334,0.003212829138399417
ENSCGRT00001018936,0.003200406234277622
ENSCGRT00001020675,0.0031884239567673087
ENSCGRT00001007795,0.0031857434445439576
ENSCGRT00001023552,0.0031810711628713325
ENSCGRT00001029665,0.0031516561437413613
ENSCGRT00001023366,0.003114484975758992
ENSCGRT00001012292,0.0030985343215600087
ENSCGRT00001029582,0.0030917672882867326
ENSCGRT00001011860,0.0030802248259453285
ENSCGRT00001004993,0.0030758172532359424
ENSCGRT00001014316,0.0030744866697349845
ENSCGRT00001027531,0.0030658069620974615
ENSCGRT00001012034,0.003062004269125562
ENSCGRT00001004010,0.0030591091125042585
ENSCGRT00001031058,0.003047084277615733
ENSCGRT00001015448,0.0030414691749626687
ENSCGRT00001014085,0.0030253347559037707
ENSCGRT00001022794,0.0029848915158540695
ENSCGRT00001005014,0.002962072780565404
ENSCGRT00001026854,0.0029326558586231493
ENSCGRT00001023166,0.0029277475005729152
ENSCGRT00001020438,0.002915680749715055
ENSCGRT00001021737,0.002880453953381991
ENSCGRT00001015716,0.002863987339498125
ENSCGRT00001017209,0.0028625826798852148
ENSCGRT00001028474,0.0028520650074729042
ENSCGRT00001009556,0.002850488828911087
ENSCGRT00001019355,0.0028383727644633655
ENSCGRT00001024305,0.0028358380555012193
ENSCGRT00001024048,0.0028344466589468363
ENSCGRT00001009142,0.002831938073169869
ENSCGRT00001003670,0.002827150589755636
ENSCGRT00001024421,0.0028227466079110974
ENSCGRT00001018165,0.002808787130217783
ENSCGRT00001011932,0.0027883356905422578
ENSCGRT00001008524,0.0027812390800366726
ENSCGRT00001020156,0.0027733012253261104
ENSCGRT00001018271,0.00276753825599918
ENSCGRT00001000595,0.0027654132271211114
ENSCGRT00001016194,0.00275828295795197
ENSCGRT00001012772,0.0027551424477472
ENSCGRT00001018493,0.002740394551416224
ENSCGRT00001028280,0.0027168487148789256
ENSCGRT00001023235,0.0027042559069887836
ENSCGRT00001016587,0.002701207443070621
ENSCGRT00001023198,0.00269601292692307
ENSCGRT00001000578,0.0026951363317292937
ENSCGRT00001000393,0.0026818025808035984
ENSCGRT00001027967,0.0026780219608681715
ENSCGRT00001000934,0.0026533184287165267
ENSCGRT00001013035,0.002647227045662781
ENSCGRT00001011513,0.0026299563818124976
ENSCGRT00001023838,0.0026185344354883134
ENSCGRT00001024241,0.00260913511529972
ENSCGRT00001021072,0.0026086380336089437
ENSCGRT00001005223,0.0026054667510408253
ENSCGRT00001028850,0.0026042840774024596
ENSCGRT00001031613,0.002603996285333312
ENSCGRT00001022322,0.002599453823371872
ENSCGRT00001027777,0.002599413295678623
ENSCGRT00001011848,0.0025914506997305447
ENSCGRT00001006512,0.0025888006886159386
ENSCGRT00001020249,0.0025874356250515616
ENSCGRT00001002078,0.002578328363121023
ENSCGRT00001022577,0.002553415358627562
ENSCGRT00001009823,0.002551536381238963
ENSCGRT00001021546,0.002545451334956264
ENSCGRT00001017512,0.0025450497638715742
ENSCGRT00001022667,0.00254128686612597
ENSCGRT00001017412,0.0025286817687669018
ENSCGRT00001029968,0.0025273112030841332
ENSCGRT00001001027,0.00248503773001315
ENSCGRT00001016326,0.0024811459500740985
ENSCGRT00001022536,0.002468444861809309
ENSCGRT00001028832,0.002468092369002687
ENSCGRT00001018698,0.0024548428527837703
ENSCGRT00001021984,0.00244984113996825
ENSCGRT00001025943,0.0024422723666922426
ENSCGRT00001032524,0.002435210360098539
ENSCGRT00001014933,0.002412154090002177
ENSCGRT00001022996,0.0024052631638991784
ENSCGRT00001031385,0.002404185094427332
ENSCGRT00001005222,0.002399892602807983
ENSCGRT00001024065,0.0023919917553015323
ENSCGRT00001022226,0.002386225285578661
ENSCGRT00001006227,0.002369942334564977
ENSCGRT00001014903,0.0023531416378730716
ENSCGRT00001010649,0.0023465891991123343
ENSCGRT00001021369,0.002339275963447982
ENSCGRT00001028983,0.0023389268040858303
ENSCGRT00001002654,0.002336090789111554
ENSCGRT00001026638,0.002324580836798404
ENSCGRT00001016892,0.0023176520571280613
ENSCGRT00001000894,0.002317555465767043
ENSCGRT00001010651,0.0023042029144778693
ENSCGRT00001028070,0.002289415927809943
ENSCGRT00001025867,0.002285774912019743
ENSCGRT00001008211,0.0022816361434884473
ENSCGRT00001023167,0.002263317409152896
ENSCGRT00001000009,0.002263086121253738
ENSCGRT00001024149,0.0022626691706073066
ENSCGRT00001024381,0.002262326093152695
ENSCGRT00001029147,0.002260159908096372
ENSCGRT00001007557,0.0022508970015858746
ENSCGRT00001028810,0.002245192801947613
ENSCGRT00001018898,0.0022393427744408496
ENSCGRT00001013510,0.002238883216621791
ENSCGRT00001030694,0.0022367936140296764
ENSCGRT00001003117,0.0022364781468894035
ENSCGRT00001017009,0.002234204659420086
ENSCGRT00001031780,0.002199411493824969
ENSCGRT00001016487,0.0021872963177240025
ENSCGRT00001023631,0.002183186205173979
ENSCGRT00001022433,0.002173525845966855
ENSCGRT00001018726,0.0021418634281983547
ENSCGRT00001017672,0.0021373871717796453
ENSCGRT00001016720,0.0021319581424572216
ENSCGRT00001020622,0.0021306591546329935
ENSCGRT00001032236,0.0021147841948254
ENSCGRT00001031449,0.002113516430630638
ENSCGRT00001001257,0.0021055410551268495
ENSCGRT00001009705,0.0021011316206208607
ENSCGRT00001029827,0.0020993142772481647
ENSCGRT00001031671,0.0020875402304354213
ENSCGRT00001016789,0.002086748951190397
ENSCGRT00001012958,0.0020819012769800454
ENSCGRT00001004252,0.002074036312312103
ENSCGRT00001001852,0.002061433816862906
ENSCGRT00001000931,0.0020606377730118318
ENSCGRT00001018257,0.0020523189479479246
ENSCGRT00001021197,0.0020489238354942066
ENSCGRT00001000779,0.0020236458920475826
ENSCGRT00001023271,0.0020208489140951173
ENSCGRT00001004172,0.0020120312259712825
ENSCGRT00001020374,0.0020117796562802858
ENSCGRT00001025211,0.0020066774542755587
ENSCGRT00001000445,0.0019927539849629713
ENSCGRT00001005540,0.001991890489395478
ENSCGRT00001028125,0.0019895036600261723
ENSCGRT00001026642,0.0019838545108044705
ENSCGRT00001013422,0.0019785535151312307
ENSCGRT00001025228,0.001973960658553787
ENSCGRT00001025961,0.0019724178564163846
ENSCGRT00001022566,0.0019677222819248215
ENSCGRT00001022273,0.001964906656998999
ENSCGRT00001024620,0.0019633638566556337
ENSCGRT00001011939,0.0019589896214428654
ENSCGRT00001016793,0.0019433354602772846
ENSCGRT00001019125,0.0019409748591248728
ENSCGRT00001022789,0.001936992521764618
ENSCGRT00001016958,0.0019342258156207599
ENSCGRT00001032020,0.001924739487480998
ENSCGRT00001028512,0.0019166695032041975
ENSCGRT00001022617,0.001910792336417242
ENSCGRT00001032448,0.0019093642412626505
ENSCGRT00001023826,0.0019011555494295243
ENSCGRT00001023317,0.0018924207734697738
ENSCGRT00001017068,0.001887868568220242
ENSCGRT00001009476,0.0018834728029644848
ENSCGRT00001012531,0.001882210696045424
ENSCGRT00001021221,0.0018657982983606236
ENSCGRT00001001338,0.0018556793031930562
ENSCGRT00001032166,0.0018552053136450231
ENSCGRT00001025693,0.0018469255828102897
ENSCGRT00001000373,0.0018433659962440619
ENSCGRT00001012316,0.0018257761583763508
ENSCGRT00001013137,0.0018222789398647718
ENSCGRT00001031159,0.0018209509520919031
ENSCGRT00001019342,0.0018035439872828773
ENSCGRT00001018744,0.001801508797641801
ENSCGRT00001029562,0.0017941512758360694
ENSCGRT00001022240,0.0017858990458520122
ENSCGRT00001000629,0.0017814046756376236
ENSCGRT00001004351,0.0017786976929322768
