ensembl_transcript_id,sym,ensembl_peptide_id,Spearman_Correlation,P_Value,Score,Variance,Gene,Importance,Classifier_Importance,P_Value_Corrected,Final_Composite_Score
ENSCGRT00001023720,ENSCGRG00001018897,ENSCGRP00001019476,0.27809492250455636,0.018735468482231527,0.45313199580464086,0.00662828899446032,17655,0.07070752941432203,0.0,0.07226005658940325,0.11540211770531994
ENSCGRT00001026513,Cnga1,ENSCGRP00001022268,0.378168727688994,0.34669315193777617,0.049035838903624146,0.01648033827619007,20114,4.3910097588021684e-07,0.0,0.019241194624203022,0.11537489145446006
ENSCGRT00001029536,ENSCGRG00001022935,ENSCGRP00001025290,0.37791266888584296,0.34488284806980685,0.04946241993652961,0.01581392841661274,22851,3.84158235857921e-05,0.0,0.01933631738430606,0.1153208779424385
ENSCGRT00001019206,Zc3h14,ENSCGRP00001014967,0.3778373574731515,0.3443515329948186,0.04958832084573005,0.05802948323405292,13595,3.876938785918152e-05,0.0,0.019364330226619555,0.11530120955035812
ENSCGRT00001030889,C130050O18Rik,ENSCGRP00001026643,0.3772198038890814,0.3400140888358757,0.05062820515074206,0.17002162523783496,24067,0.0002099546613533164,0.0,0.019594645856834656,0.11519888988388154
ENSCGRT00001022271,ENSCGRG00001017909,ENSCGRP00001018027,0.3774909249747707,0.3419140861936041,0.050170022667410885,0.005854364748175136,16333,1.4984819022947187e-07,0.0,0.019493397642654575,0.11519666970356325
ENSCGRT00001000801,ENSCGRG00001000597,ENSCGRP00001000777,0.3771143679113133,0.33927699677476475,0.05080708544744218,0.08102800988372032,718,5.258865783568897e-06,0.0,0.019634076864367567,0.11509955866285498
ENSCGRT00001016631,Fcho2,ENSCGRP00001012398,0.37702399421608357,0.33864600421840485,0.0509607230948964,0.010129672764508654,11330,1.0198278692882832e-06,0.0,0.01966790015658722,0.11507434522023804
ENSCGRT00001003847,Rad50,ENSCGRP00001002794,0.3767227485653176,0.33654803482082407,0.05147492979980414,0.01999392914579813,2601,0.00021982971191920506,0.0,0.019780813127026852,0.11507184628146969
ENSCGRT00001001092,Rps6kb2,ENSCGRP00001001068,0.34296817339699665,0.15271622752180786,0.13169560174243206,0.0018685215912092946,965,0.02465134676533725,0.0,0.034137578612363814,0.11493218124820341
ENSCGRT00001005988,Erc1,ENSCGRP00001004044,0.37599975900347943,0.33154644161203184,0.052722136780819905,0.019662663634017714,3832,4.457994623464175e-05,0.0,0.020052864225975704,0.11482081710482353
ENSCGRT00001002262,Sdk1,ENSCGRP00001001868,0.3653507252489043,0.26337175611941516,0.07331850587867589,0.010781719774345432,1709,0.007976903724635139,0.0,0.02423549700429891,0.11482068357872346
ENSCGRT00001028301,Pabpc1,ENSCGRP00001024055,0.37599975900347943,0.33154644161203184,0.052722136780819905,0.02421421363284324,21741,3.1226647455009937e-05,0.0,0.020052864225975704,0.11481614345025067
