ensembl_transcript_id,sym,ensembl_peptide_id,Spearman_Correlation,P_Value,Score,Variance
ENSCGRT00001011939,ENSCGRG00001010228,ENSCGRP00001007859,0.6673230192217534,1.3845189143265234e-11,7.246261207450548,0.002532832663601626
ENSCGRT00001027609,Asgr2,ENSCGRP00001023363,0.6666666666666667,1.4737329172757597e-11,7.221054143984784,0.0008587911310174661
ENSCGRT00001017013,ENSCGRG00001014084,ENSCGRP00001012778,0.6656821378340366,1.617973183534079e-11,7.183395041602584,0.0009237412657748551
ENSCGRT00001028284,Cd44,ENSCGRP00001024038,0.6655649320206283,1.6360209508555365e-11,7.1789238835296665,0.0024095004269423727
ENSCGRT00001026506,Zng1,ENSCGRP00001022261,0.6654477262072199,1.654261833327917e-11,7.174455287218707,0.0015205017869476698
ENSCGRT00001000611,9130401M01Rik,ENSCGRP00001000587,0.6638537271448663,1.922562960680457e-11,7.113935823394815,0.005830101902231409
ENSCGRT00001031058,Iars,ENSCGRP00001026812,0.6615564932020629,2.3837605867304817e-11,7.0275408795004,0.002503254491213955
ENSCGRT00001020780,Atp1b2,ENSCGRP00001016536,0.6608532583216127,2.5449948508995404e-11,7.001286326529066,0.003092317101668828
ENSCGRT00001018563,ENSCGRG00001015222,ENSCGRP00001014326,0.6590248476324426,3.014655568680906e-11,6.933443771623278,0.0006405720682559683
ENSCGRT00001019311,Adam5,ENSCGRP00001015072,-0.6584153774027192,3.1889095955009945e-11,6.910963377423289,0.0029105366965877025
ENSCGRT00001028583,Aifm2,ENSCGRP00001024337,0.6580637599624941,3.2937929410524023e-11,6.898024189527189,0.009161937905509943
ENSCGRT00001021197,Zfp775,ENSCGRP00001016953,0.6575714955461792,3.446202819975286e-11,6.879946435523088,0.0027977264807979114
ENSCGRT00001000040,Zfp449,ENSCGRP00001000015,0.6563525550867324,3.853261473412037e-11,6.835368086111157,0.009521088747724492
ENSCGRT00001020403,Fh1,ENSCGRP00001016159,0.6563291139240506,3.8615242302803704e-11,6.83451339330921,0.0033436360026408854
ENSCGRT00001006531,ENSCGRG00001005543,ENSCGRP00001004362,0.6560478199718707,3.962012139999594e-11,6.824264661310233,0.0029533039357655852
ENSCGRT00001027245,Ccdc50,ENSCGRP00001023000,0.655883731833099,4.0217831186784135e-11,6.818292692483639,0.0006387328208500282
ENSCGRT00001012715,Hinfp,ENSCGRP00001008586,0.6546647913736522,4.493664985507103e-11,6.774078009559681,0.007182717851875995
ENSCGRT00001027972,Ifngr1,ENSCGRP00001023726,0.6542194092827005,4.678977737474248e-11,6.757987724610222,0.002769604882839441
ENSCGRT00001024862,Synpo2l,ENSCGRP00001020618,0.6539849976558838,4.779431662537099e-11,6.749533094804485,0.02809560435061751
ENSCGRT00001016643,Dnai4,ENSCGRP00001012409,0.6532114392873887,5.125809939743197e-11,6.721700848694747,0.0018673865461774897
ENSCGRT00001025652,Nexn,ENSCGRP00001021408,0.6531879981247071,5.136673087213541e-11,6.720859074274246,0.0017866956337553828
ENSCGRT00001019212,ENSCGRG00001015690,ENSCGRP00001014973,-0.6526254102203469,5.404109355701901e-11,6.700685127370272,0.016058568950341263
ENSCGRT00001016397,Tns2,ENSCGRP00001012164,0.6521331458040319,5.649021432068288e-11,6.68307794074186,0.0027438975553528114
ENSCGRT00001028700,Dmtn,ENSCGRP00001024454,0.6519924988279419,5.720928132399191e-11,6.67805501614866,0.00375268450994306
ENSCGRT00001032208,Smim1,ENSCGRP00001027960,-0.6518518518518519,5.793711821569518e-11,6.673035508964286,0.0030535600448826764
ENSCGRT00001003000,Rasl10a,ENSCGRP00001002311,0.6514299109235819,6.017427575781477e-11,6.657997465290857,0.002419689590024826
ENSCGRT00001018193,Fam25a,ENSCGRP00001013956,0.6511017346460385,6.197129832743605e-11,6.646322410586489,0.003666922153159144
ENSCGRT00001023166,Nalf2,ENSCGRP00001018922,0.6508673230192218,6.328626127775002e-11,6.637994423158136,0.0025519354242069165
ENSCGRT00001024931,Il15ra,ENSCGRP00001020687,-0.650492264416315,6.54459993811774e-11,6.624689260819546,0.003265130882703251
ENSCGRT00001002198,Tinag,ENSCGRP00001001835,-0.65,6.838806310777296e-11,6.607262802540438,0.0030687926925273327
ENSCGRT00001024825,Comt,ENSCGRP00001020581,0.64985935302391,6.925166994162324e-11,6.602291424422484,0.0016553901599765566
ENSCGRT00001030813,ENSCGRG00001023840,ENSCGRP00001026567,0.64971870604782,7.012572406207826e-11,6.597323423709345,0.0029674277421222538
ENSCGRT00001018980,Odf1,ENSCGRP00001014742,0.6495311767463667,7.13075897293321e-11,6.590704671982362,0.004182565169353057
ENSCGRT00001013180,Chpt1,ENSCGRP00001009013,0.6494139709329584,7.20559250107745e-11,6.586570996090113,0.0014967147140254734
ENSCGRT00001000775,Syn3,ENSCGRP00001000751,0.6482419127988749,7.996522276961802e-11,6.545362671301115,0.0044031994659628725
ENSCGRT00001023552,Fbh1,ENSCGRP00001019308,0.6477730895452415,8.335640000057362e-11,6.52894451605185,0.0028073839206081918
ENSCGRT00001027777,Eif2ak2,ENSCGRP00001023531,0.6475621190811065,8.492699948731322e-11,6.52156845553655,0.00078636662700625
ENSCGRT00001025013,Ttc33,ENSCGRP00001020769,-0.6472808251289264,8.706529523186187e-11,6.511745379471979,0.008158471717313877
ENSCGRT00001024241,ENSCGRG00001019283,ENSCGRP00001019997,0.6469760900140648,8.943997728984048e-11,6.501118744130123,0.005912628938368427
ENSCGRT00001030969,Gldc,ENSCGRP00001026723,0.6464838255977498,9.340762634624165e-11,6.483985596689095,0.00188358347025896
ENSCGRT00001014269,Kcnk10,ENSCGRP00001010049,0.6464135021097047,9.398801934501589e-11,6.481541322226396,0.0022368193017940517
ENSCGRT00001001882,Psmd5,ENSCGRP00001001649,0.6463900609470231,9.418225040531705e-11,6.480726748210553,0.0027513207883273724
ENSCGRT00001027967,Oxnad1,ENSCGRP00001023721,0.6451711204875762,1.0482963636874238e-10,6.438495468464939,0.002530605543331585
ENSCGRT00001013927,Zfp451,ENSCGRP00001009708,-0.6442334739803094,1.1379504206290626e-10,6.406178205058028,0.014342195843050467
ENSCGRT00001021840,Snrpa,ENSCGRP00001017596,0.6440693858415377,1.154376857965281e-10,6.400537670387392,0.00446188248794967
ENSCGRT00001008206,Dhx35,ENSCGRP00001005339,-0.6437177684013127,1.1903446666422945e-10,6.388465802855622,0.005187389673038717
ENSCGRT00001017472,Irx2,ENSCGRP00001013235,0.6429676511954993,1.270697955402896e-10,6.362780658684924,0.006372399265256833
ENSCGRT00001000452,ENSCGRG00001000354,ENSCGRP00001000428,0.642850445382091,1.2837133154921134e-10,6.358775722136273,0.001928735694642782
ENSCGRT00001003535,Ip6k2,ENSCGRP00001002615,-0.6420300046882326,1.3784625457880582e-10,6.330804293392651,0.005394209092567023
ENSCGRT00001013316,Ncstn,ENSCGRP00001009136,0.6414674167838725,1.4472663376502842e-10,6.311687561385406,0.0026062381041421293
ENSCGRT00001023838,Tmco3,ENSCGRP00001019594,0.6414205344585092,1.4531461326805773e-10,6.310096832767325,0.003801601829233368
ENSCGRT00001028824,Usp9x,ENSCGRP00001024578,0.6409048288795125,1.5193524861267106e-10,6.292622452770906,0.004078995722715297
ENSCGRT00001027433,Scel,ENSCGRP00001023188,0.6406704172526958,1.550392383550857e-10,6.284693856407612,0.0035774521197392706
ENSCGRT00001030046,Nisch,ENSCGRP00001025800,0.6406469760900141,1.5535295619895261e-10,6.283901487776279,0.0007023678671683529
ENSCGRT00001022492,Supt4a,ENSCGRP00001018248,0.6398734177215191,1.6605350125763983e-10,6.257803312917557,0.003424873772302721
ENSCGRT00001023198,Slc12a1,ENSCGRP00001018954,0.6397093295827473,1.6841234201505007e-10,6.252279790180968,0.002152369046382659
ENSCGRT00001020156,ENSCGRG00001016397,ENSCGRP00001015913,0.639662447257384,1.6909216867434953e-10,6.250702440014801,0.0032847799432110256
ENSCGRT00001000431,Lztfl1,ENSCGRP00001000407,0.6393577121425223,1.7357552259952505e-10,6.2404583138087455,0.00226820503995083
ENSCGRT00001013188,ENSCGRG00001011185,ENSCGRP00001009020,0.6378574777308955,1.9735854723578734e-10,6.1902435683687695,0.006078636603137253
ENSCGRT00001026172,Fbf1,ENSCGRP00001021928,0.6375996249413972,2.0174854195771414e-10,6.181649249668902,0.0246831930294455
ENSCGRT00001016890,Limch1,ENSCGRP00001012655,0.6366385372714487,2.1894946380812998e-10,6.1497093389795205,0.0019099154934576574
ENSCGRT00001031326,Myocos,ENSCGRP00001027079,0.6366150961087671,2.193860510390509e-10,6.148932153826899,0.0029090728786069094
ENSCGRT00001031472,Rab26,ENSCGRP00001027225,0.6364275668073137,2.2290887830319971e-10,6.14271781529336,0.0027461094842877376
ENSCGRT00001010114,Tex36,ENSCGRP00001006441,0.6361931551804969,2.2738860989192147e-10,6.134957742632633,0.001732234418340599
ENSCGRT00001029835,ENSCGRG00001023144,ENSCGRP00001025589,0.6359353023909986,2.3241583571513253e-10,6.126431725369873,0.0013119738222470282
ENSCGRT00001032236,Utp11,ENSCGRP00001027988,0.6350210970464135,2.511109448727496e-10,6.096287851683008,0.003412360991994404
ENSCGRT00001020274,Rcbtb2,ENSCGRP00001016030,-0.6348570089076419,2.5461539210070844e-10,6.090891371526315,0.003051456465145285
ENSCGRT00001013970,Fhip2b,ENSCGRP00001009751,0.6343881856540085,2.648879421573825e-10,6.075496201770616,0.0027024564108771173
ENSCGRT00001001318,Dydc1,ENSCGRP00001001281,-0.6341537740271918,2.7017182795635036e-10,6.067811566447782,0.01252918657687211
ENSCGRT00001030562,ENSCGRG00001023672,ENSCGRP00001026316,0.6328410689170183,3.016771207562637e-10,6.0249365803277355,0.0019449384281372182
ENSCGRT00001023333,Myo15b,ENSCGRP00001019089,0.6325363338021567,3.094782933521413e-10,6.015021914341061,0.005634948379741708
ENSCGRT00001023527,Rbm26,ENSCGRP00001019283,0.6324660103141116,3.113057869589464e-10,6.012735966219522,0.0006286850943443187
ENSCGRT00001026393,Tro,ENSCGRP00001022148,0.6324660103141116,3.113057869589464e-10,6.012735966219522,0.0006286850943443187
ENSCGRT00001011110,7SK-ENSCGRG00001009563,non-coding,0.6324660103141116,3.113057869589464e-10,6.012735966219522,0.0006286850943443187
ENSCGRT00001000668,Eva1c,ENSCGRP00001000644,0.6323722456633849,3.137585157920493e-10,6.009689231241123,0.004168270902369135
ENSCGRT00001023601,Lrp4,ENSCGRP00001019357,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001028777,ENSCGRG00001022419,ENSCGRP00001024531,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001016427,ENSCGRG00001013660,ENSCGRP00001012194,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001007898,Phldb2,ENSCGRP00001005169,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001017621,Dcun1d5,ENSCGRP00001013384,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001012507,Ajm1,ENSCGRP00001008379,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001029251,Med25,ENSCGRP00001025005,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001010872,7SK-ENSCGRG00001009375,non-coding,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001002716,Ttc4,ENSCGRP00001002138,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001012810,ENSCGRG00001010922,ENSCGRP00001008676,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001022083,Appbp2,ENSCGRP00001017839,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001005396,ENSCGRG00001004545,non-coding,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001008025,B3galt1,ENSCGRP00001005241,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001015811,Unc13b,ENSCGRP00001011579,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001015806,Cd96,ENSCGRP00001011574,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001010320,Gprasp1,ENSCGRP00001006553,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001021948,Slc5a2,ENSCGRP00001017704,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001000861,Ranbp2,ENSCGRP00001000837,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001011713,Xpo5,ENSCGRP00001007653,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001022365,Cd109,ENSCGRP00001018121,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001019997,Mfsd14b,ENSCGRP00001015754,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001007672,Lbp,ENSCGRP00001005035,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001008770,Taf6l,ENSCGRP00001005674,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001023586,Tnc,ENSCGRP00001019342,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001014546,Spp1,ENSCGRP00001010325,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001005503,Gm55525,non-coding,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001020296,ENSCGRG00001016481,ENSCGRP00001016052,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001000970,Awat1,ENSCGRP00001000946,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001021588,Lactb,ENSCGRP00001017344,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001031490,Enpp7,ENSCGRP00001027243,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001013716,Jph2,ENSCGRP00001009500,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001020023,ENSCGRG00001016295,ENSCGRP00001015780,0.6322550398499766,3.1685044048914487e-10,6.005882733469487,0.0004128965251592292
ENSCGRT00001031392,Slmap,ENSCGRP00001027145,0.632231598687295,3.174723146704362e-10,6.005121689936412,0.0006100056203347709
ENSCGRT00001016257,Rab39,ENSCGRP00001012024,0.6320909517112049,3.212281599791502e-10,6.000557220000305,0.002484519237833624
ENSCGRT00001010136,Creb3l4,ENSCGRP00001006452,0.6320675105485233,3.218582538452529e-10,5.999796773456248,0.0005699384477808067
ENSCGRT00001017801,Camta2,ENSCGRP00001013564,0.6320675105485233,3.218582538452529e-10,5.999796773456248,0.0005699384477808067
ENSCGRT00001013405,Nrn1l,ENSCGRP00001009216,0.6317862165963433,3.295122363975038e-10,5.990678060788955,0.00054111636643523
ENSCGRT00001010166,6430550D23Rik,ENSCGRP00001006468,0.6308251289263949,3.569993008728805e-10,5.959614827096189,0.0005028432538307699
ENSCGRT00001000022,ATP6,ENSCGRP00001000006,0.6304969526488514,3.668777645868442e-10,5.949040509628191,0.010095971042548741
ENSCGRT00001026642,Trmt61a,ENSCGRP00001022397,-0.6300750117205814,3.799634216091855e-10,5.93546930214882,0.002492226369393733
ENSCGRT00001017070,ENSCGRG00001014126,ENSCGRP00001012835,0.6300046882325364,3.8218732944242717e-10,5.933210092988495,0.002980978509765093
