ensembl_transcript_id,In Regressor,In Spearman+Regressor,In Classifier,In Composite,Total Hits
ENSCGRT00001005769,True,False,False,False,1
ENSCGRT00001012034,False,False,True,False,1
ENSCGRT00001028679,True,False,False,False,1
ENSCGRT00001007222,False,False,False,True,1
ENSCGRT00001029067,True,False,False,False,1
ENSCGRT00001016032,False,False,False,True,1
ENSCGRT00001025650,True,False,False,False,1
ENSCGRT00001008941,False,False,False,True,1
ENSCGRT00001027158,False,False,False,True,1
ENSCGRT00001021737,False,False,True,False,1
ENSCGRT00001028474,False,False,True,False,1
ENSCGRT00001007795,False,False,True,False,1
ENSCGRT00001023235,False,False,True,False,1
ENSCGRT00001027147,False,False,False,True,1
ENSCGRT00001006531,False,True,False,False,1
ENSCGRT00001017881,False,False,False,True,1
ENSCGRT00001015063,False,True,False,False,1
ENSCGRT00001019902,True,False,False,False,1
ENSCGRT00001000653,False,False,False,True,1
ENSCGRT00001031264,False,False,False,True,1
ENSCGRT00001014316,False,False,True,False,1
ENSCGRT00001016281,True,False,False,False,1
ENSCGRT00001021587,False,True,False,False,1
ENSCGRT00001016698,True,False,False,False,1
ENSCGRT00001016054,False,False,False,True,1
ENSCGRT00001023763,True,False,False,False,1
ENSCGRT00001030813,False,True,False,False,1
ENSCGRT00001031275,True,False,False,False,1
ENSCGRT00001019993,False,True,False,False,1
ENSCGRT00001012143,False,True,False,False,1
ENSCGRT00001020780,False,True,False,False,1
ENSCGRT00001004742,True,False,False,False,1
ENSCGRT00001022240,False,True,False,False,1
ENSCGRT00001001908,True,False,False,False,1
ENSCGRT00001014472,True,False,False,False,1
ENSCGRT00001011932,False,False,True,False,1
ENSCGRT00001004010,False,False,True,False,1
ENSCGRT00001027220,False,True,False,False,1
ENSCGRT00001020675,False,False,True,False,1
ENSCGRT00001000611,False,True,False,False,1
ENSCGRT00001004600,False,False,False,True,1
ENSCGRT00001017209,False,False,True,False,1
ENSCGRT00001015269,True,False,False,False,1
ENSCGRT00001020596,False,True,False,False,1
ENSCGRT00001025421,False,False,False,True,1
ENSCGRT00001000775,False,True,False,False,1
ENSCGRT00001019401,False,False,True,False,1
ENSCGRT00001024626,False,False,True,False,1
ENSCGRT00001020887,True,False,False,False,1
ENSCGRT00001019311,False,True,False,False,1
ENSCGRT00001012466,False,True,False,False,1
ENSCGRT00001024381,True,False,False,False,1
ENSCGRT00001027553,True,False,False,False,1
ENSCGRT00001000040,False,True,False,False,1
ENSCGRT00001032140,False,False,True,False,1
ENSCGRT00001021520,False,False,False,True,1
ENSCGRT00001008441,False,False,False,True,1
ENSCGRT00001016853,False,False,True,False,1
ENSCGRT00001024421,False,False,True,False,1
ENSCGRT00001016583,True,False,False,False,1
ENSCGRT00001020374,False,True,False,False,1
ENSCGRT00001023546,True,False,False,False,1
ENSCGRT00001030196,False,False,True,False,1
ENSCGRT00001015716,False,False,True,False,1
ENSCGRT00001024305,False,False,True,False,1
ENSCGRT00001016326,False,True,False,False,1
ENSCGRT00001004824,True,False,False,False,1
ENSCGRT00001020370,False,False,True,False,1
ENSCGRT00001000226,False,False,True,False,1
ENSCGRT00001021536,False,True,False,False,1
ENSCGRT00001017009,False,False,False,True,1
ENSCGRT00001031931,False,False,False,True,1
ENSCGRT00001019110,True,False,False,False,1
ENSCGRT00001009891,False,False,True,False,1
ENSCGRT00001021663,False,True,False,False,1
ENSCGRT00001027531,False,False,True,False,1
ENSCGRT00001028101,False,True,False,False,1
